text (S),location (S),phase (S),sentiment (S)
zero hona chaiye tha true economic migrants voting rights population j1h0d imagine ram rajya,mumbai,0,NEUTRAL
1974 new positive cases reported today covid19covid19,chennai,1,NEUTRAL
2020 checklist corona gas leak cyclone locust earthquake whats next masakali 2 0 indiafightscoronavirus vizaggasleak amphansupercyclone locustattack lockdown4 earthquakeindiafightscoronavirus vizaggasleak amphansupercyclone locustattack lockdown4 earthquake,kolkata,1,NEUTRAL
5 biggest lies last months cross mark india community transmission stage cross mark china hasnt occupied indian territory cross mark 20l crore package build aatma nirbhar bharat cross mark lockdown janata curfew amp thali bajao masterstrokes modi cross mark pm cares,kolkata,1,NEUTRAL
actor 𝙄𝙍𝙍𝙁𝘼𝙉 𝙆𝙃𝘼𝙉 𝙎𝙄𝙍 one favourite person versatile respected actors hindi cinema passed away mumbai today shocked core ’ saddened hear loss ” miss you𝙄𝙍𝙍𝙁𝘼𝙉 𝙆𝙃𝘼𝙉 𝙎𝙄𝙍 irfankhansir rip – block 5irfankhansir rip,chennai,1,MIXED
ahemsharrma sehgal monica dedication corona dayscorona,bangalore,1,NEUTRAL
american every labour team coronavirus luck slow company business american job team job saleay god american every labour government company something money dollar back bank account ac number every minister fake dialogue,kolkata,1,NEUTRAL
amri hospitals pull impact driven awareness campaign celebrate world cancer day,hyderabad,0,NEUTRAL
assalamo alley kom ramadan mubarak help plz problem money drop help phone 08977403778,hyderabad,1,NEUTRAL
atheism anti caste movement buddhism real anti caste movement atheists perform ancestral rituals say brahmanical rituals atheists ancestor belongs hindu marriage ceremonies social ceremonies name sanskar,delhi,1,NEUTRAL
behavior corrona patients surrounding peoples shocking criminals show humanity give moral support doctor refused treat corona patients think byculla 32 patients found today 6 died 44 cured coronaupdatesbyculla coronaupdates,mumbai,2,NEGATIVE
biggboss disclose pole fronts publics trust transparency game season lot accusation coming social media regarding penance,hyderabad,0,NEGATIVE
bihar people go doctors like vijayanpinarayi cm going treatment abroad,hyderabad,0,NEUTRAL
braces treatment dr kirubaharan mds opaldentistry – opal dentistry,chennai,2,NEUTRAL
brings hope restructuring global health “ really cared self appointed health “ leaders ” thought countries strategies plans mattered proclamations aristocrats international health “,delhi,0,MIXED
cmotamilnadu cm sir biotechnologist convey lock solution eradicate corona hence please request unlock chennai also want rebounce chennai kill corona social distancing till get vaccine thanks,chennai,1,NEUTRAL
corona china government clearly confirm number chinese deaths indian government clearly corona china government f ing jokeing,kolkata,2,NEGATIVE
cpmumbaipolice mumbaipolice waaah political leader larger duty performing lady cop u smash ordinary public mathis violation lockdown rules political leaders violate disaster mangt act social distancing wearing mask helpless shame,mumbai,1,MIXED
dear narendramodi ji going bad country cntnues scarcity doctors amp nurses also plz implememt strict curfew 21days save max lives people dying ruthlesly swamy39 ysjagan ktrtrs amitshah sonusood pmoindia,chennai,2,NEGATIVE
dedicated jharkhandpolice jsr police bannagupta76 health minister cm hemantsorenjmm staysafestayhomestaysafestayhome,kolkata,1,NEUTRAL
didis decision completely wrong increase number infections could say dealt corona many concessions made didi giving concessions instead loss good folded hands folded hands,kolkata,1,NEGATIVE
different symbolic hajj muslim pilgrims began arriving islam ’ holiest site mecca wednesday start historically unique scaled hajj experience reshaped coronavirus pandemic hajj hajj2020hajj hajj2020,hyderabad,2,NEUTRAL
donated ration cash ahmedabad great job,mumbai,1,POSITIVE
dont tease lockdown fair,kolkata,1,NEUTRAL
dream runners run believe fitness health cleanliness spirit marathon lets celebrate life hexawaredrhm2020 dreamrunners runclean runresponsible letusrunsotheycanwalk sheshouldrun http www dreamrunnershalfmarathon comhexawaredrhm2020 dreamrunners runclean runresponsible letusrunsotheycanwalk sheshouldrun,chennai,2,NEUTRAL
drsjaishankar meaindia travel advisory countries hit covid19 specific advisory travel japancovid19,bangalore,0,NEUTRAL
earnest request infected lets act responsible inform close ones whove met recently get tested need hour time civilised folded hands light skin tone telanganafightscorona hyderabad telangana telanganacovidtruth covid19telanganafightscorona hyderabad telangana telanganacovidtruth covid19,hyderabad,2,NEUTRAL
failed n bihar create issues migrants job food security etc pucca confident fail cant say bihar join dots post modi2 0 find synchronous mischievous effort going thinking face thinking face thinking face thinking face,kolkata,1,NEGATIVE
failed understand media india need locked coronavirus news world side,kolkata,0,NEGATIVE
friend predicted time converging impassable one corona immobilize system totally soon would like think opportunity learn things well unlearn didnt work,bangalore,2,NEGATIVE
give skin mini facial matter minutes skinyoga sandalwood saffron face mask goodness sandalwood reverse signs aging gradually remove wrinkles dark spots saffron will… https www instagram com p b9gpdfwjxyz igshid 5dx4pcmnumj4,mumbai,0,NEUTRAL
good job sir folded hands,delhi,1,POSITIVE
good times call good people pleasure go social media queens dig click upcoming series beautiful memories created would see art and… https www instagram com p b9hjf5zl78g igshid 1uo47a28g89uy,mumbai,0,POSITIVE
goons pune elsewhere maharashtra taken job police randomly checking identity migrant workers,kolkata,0,NEGATIVE
got news curfew,mumbai,0,NEUTRAL
government filed fir former ias officer questioning governments inability handling corona pandemic booked section indian penal code 188 505 epidemic disorder act – sri kalikambal temple,chennai,1,NEUTRAL
gupta think lockdown started getting,bangalore,2,NEUTRAL
happy birthday mom may god bless good health prosperity life,delhi,2,POSITIVE
hardeepspuri sir manipur aunt traveled guwahati treatment march booked flight ticket 4th may guwahati imphal flight fare 18360 airlines ready refund amount without giving service,bangalore,1,NEUTRAL
health workers risk brave job salute covidー19health covid,mumbai,0,NEUTRAL
heart felt love respect doctors health care professionals rendering tireless service round clock unprecedented crises folded hands folded hands beating heart beating heart,kolkata,2,MIXED
huge irreplaceable loss indian amp international film industry irfankhan truly set bars extraordinary performances films films sadly went soon ripirrfankhanirfankhan ripirrfankhan,mumbai,1,MIXED
indiapostoffice ippbonline horrible treatment every time visit post office santacruz east pin code 400055 worst experience faced today one counter active one official person attend people,mumbai,0,NEGATIVE
israel israel india india fire fire virus nation china together soon way america also payback china coz china confluence virusisrael india america china china,chennai,1,NEUTRAL
know lockdown go road easy go may broke go irrelevant things may stop go dont ask go dont take words seriously just… https www instagram com p ccoedcwf9ea igshid zoqqdis5cilc,bangalore,2,NEGATIVE
live near udyanbati cossipore lockdown rise number groups indulging activities posing threat general public future 2 3,kolkata,1,NEGATIVE
lockdown prices unacountble jobloss providng food shelter poor workrs sufering dpndnts wage earner dcratic freedom states hindrance for100 lokdwn chaos implmntation strict l imposblity lack manpowr ppe othr material rvrse epdmic l victms,delhi,1,NEGATIVE
looks right india projected 97 corona free may 26 100 august 6 covid19india covid19covid19india covid19,bangalore,1,NEUTRAL
lore spice jet loss ₹463 crore indigo loss ₹1062 crore india post loss ₹15 000 crore yes bank loss ₹600 crore union bank loss ₹1190 crore pnb bank loss ₹4750 crore। axis bank loss ₹112 crore,kolkata,0,NEUTRAL
mask protect people care,delhi,1,NEUTRAL
may covid 19 treatment soon,delhi,1,NEUTRAL
mount road social chennai one starters quirky menu trend bars much long ago great food great cold brew roastedtoday sausage platter shammi kebab pav bread butter garlic… https www instagram com p b9teutvddng igshid 1kplz1eat9ueh,chennai,0,NEUTRAL
much anger hatred treatment dead body complete quiet living human beings r treated badly amp jailed absolutely reaction pain many arrested frivolous reasons india hs2wakeup pbhushan1 h nair rahulkanwal abhisar sharma nramind bdutt,chennai,1,NEGATIVE
mumbaipolice cpmumbaipolice dgpmaharashtra mtptraffic rsptd sir friend mr nitant mulgaonkar sister needs urgently travel bhandup dr chariars pet speciality hospital thane koliwada today e 15 may 2020 cat diagnosed related abdomen,mumbai,1,NEUTRAL
mumbaipolice ki power coronavirus ko nhi malum hai 29yr frontline warrior hero gone patrolling hospital check conidition get well back soon update dgpmaharashtra clear copy discharged soon sir mumbaipolice best aisa,mumbai,1,NEUTRAL
muslim brothar please help alhumdolilah ramadan kareem nuting food money corona lockdown anyone want help please contact 6207292762 ali akhtar khan ac 30850957875 sbin0012813 india,delhi,1,NEUTRAL
narendramodi pmoindia lockdown eyewash please impose curfew effected areas let ’ business runs normal precaution stopping human liberty law crime humanity joyguru,hyderabad,1,NEUTRAL
narendramodi sir small poem wife gunjan bisani current situation across nation amp entire nation fight together overcome crisis corona virus pls listen thank – f block anna nagar east,chennai,1,NEUTRAL
oh sang song chintia mare like corona mata ki kripa hoti na ye devi prakat hoti corona mata blessings disguise ho gayacorona,delhi,1,NEUTRAL
olacabs booked cab 2 10 3 jun kolkata airport unable contact customer support please confirm cabs operational night due curfew,kolkata,1,NEUTRAL
one covid fighters health workers police govt officials shall give ideas personal efforts resources encouragement every step way vijayabaskarofl cmotamilnadu narendramodi,chennai,1,NEUTRAL
pay emis loans companies unable pay properly due corona shut cant govt pass rule hold emis 2 3 months please let us breathe please take consideration pmoindia amiy nsitharaman nitin gadkari askanshul,bangalore,0,NEUTRAL
